filename,caption
11.png,"['একটি বাচ্চা মানুষ বসে কাজ করছে। সে একটি গেঞ্জি ও প্যান্ট পরিধান করে আছে। ', 'একটি ছোট ছেলে বসে একটি গামলায় পেয়াজ ভরছে যার পরনে ছোট কমলা গেঞ্জি অফ হুয়াট প্যান্ট তার পিছনে কতগুলো পেয়াজ এলোমেলো মাটিতে পরে আছে। ']"
12.png,"['নিচে সবুজ মাঠ আছে। উপরে আছে নীল আকাশ ও সাদা মেঘ।', 'একটি পুরুষ জমির মাঝখান দিয়ে একটি ব্যান চালিয়ে যাচ্ছে। ']"
13.png,"['অল্প আলোতে একজন মানুষ বসে আছে।', 'একজন পুরুষ বসে একটি কাদাযুক্ত জায়গায় কুপি জেলে বসে আছে তার পরনে ফুলহাতা গেঞ্জি। ']"
14.png,"['তিনজন ছেলে মানুষ আছে। একজন মানুষ সবজি বিক্রি করছে। একজন মানুষ রাস্তা দিয়ে রিক্সা নিয়ে যাচ্ছে।', '৩ জন পুরুষ যার মাঝে ১ জন সবজী পাল্লা দিয়ে মাপছে তার প্রনে লাল ফুলহাতা গেঞ্জি, ১ জন সবজির ব্যানের কাছে সাদা শার্ট পরে  দাড়িয়ে আছে পাশে একজন রিক্সা চালক একটি রিক্সা নিয়ে যাচ্ছে যার পরনে শার্ট, লুঙ্গী। ']"
15.png,"['শাড়ি পরিহিত একজন মেয়ে মানুষ মাথায় ঘোমটা দিয়ে আছে। পিছনে সবুজ গাছ আছে।', 'একজন মহিলা একটি ঝাড়ু হাতে ঝার দিচ্ছে একটি চালার নিচে বসতি বানিয়ে, তার পরনে শারি। ']"
16.png,"['আলোতে একটি শিশু দাড়িয়ে আছে।', 'আলো অন্ধকারের মাঝে দাড়িয়ে আছে একটি ছোট ছেলে যার পিছনে খরের টাল এবং টিনের বেড়া। ']"
17.png,"['জলাশয় এর পাশে দুই জন মানুষ ও একটি শিশু আছে। দূরে সবুজ গাছ ও নীল আকাশ আছে।', ' ২ টি ছেলে একটি জাল ধরে আছে  তাদের পিছনে মাথায় গামছা প্যাঁচানো হাফ প্যান্ট পরা একটি বাচ্চা ছেলে একটি হাড়ি হাতে হাঁটছে। ']"
18.png,"['বার জন মেয়ে মানুষ দাড়িয়ে আছে।', 'কতগুলো মেয়ে দাড়িয়ে আছে যাদের পরনে জামা এবং উরনা দিয়ে মাথা ঢাকা, একজনের হাতে একটি বই, সবাই বইয়ের দিঝে তাকিয়ে দাড়িয়ে আছে। ']"
19.png,"['আলো ও আঁধারে তিনটি শিশু। একজন দাড়িয়ে আছে ও দুই জন লাফ দিচ্ছে।', 'একটি নৌকা থেকে লাফ দিচ্ছে ২ টি ছেলে এবং আরেকজন ছেলে একটু দূরে দাড়িয়ে হাত উঠিয়ে আছে, সুজের আলো দেখা যায়। ']"
20.png,"['রাস্তাই একজন নারী ও বাচ্চা শুয়ে আছে। একটি রিক্সার সামনের অংশ দেখা যাচ্ছে।', '১ জন মহিলা একটি বাচ্চাকে নিয়ে রাস্তায়  শারি মুড়িয়ে ঢেকে ঘুমিয়ে আছে। একটি রিকশার অর্ধেক অংশ দেখা যায়। ']"
21.png,"['এখানে একটি মেয়ে মানুষ ও একটি শিশু রয়েছে।', 'একটি মহিলা একটি দোকানে বসে আকাশি রঙের জামা উরনা পরে প্লেট এ ভাত খাচ্ছে, তার সামনে ঘুমিয়ে আছে সাদা জামা প্যান্ট পরা একটি বাচ্চা। ']"
22.png,"['লাল জামা পরিধান করে দুই জন বালক খেলছে।', '২ জন বাচ্চা ছেলে ক্রিকেট খেলছে তাদের পরনে লাল টি শার্ট হাফ প্যান্ট একজন হাতে ব্যাট নিয়ে আছে আরেকজন বল নিয়ে আছে তাদের পিছনে দেয়ালে পতাকা আঁকানো। ']"
23.png,"['অন্ধকারে একজন মানুষ ও একটি শিশু আছে।', '২ জন মানুষ অন্ধকারে দাড়িয়ে আছে যার মাঝে একজন বাচ্চা ছেলে, তাদের পিছনে ২ টি নিশান টাঙ্গানো। ']"
24.png,"['একজন এর বুক এর মালাতে একটি চোখের ছবি।', 'একটি পুরুষের গলা থেকে বুক পর্যন্ত দেখা যাচ্ছে যার গায়ে নীল শার্ট অর্ধেক খুলা, একটি রকেট বুকে ঝুলানো আছে। ']"
25.png,"['একজন মেয়ে মানুষ এর মুখে হাসি রয়েছে। এখানে অনেক ফুল আছে।', 'একটি মহিলা ঘাড় কমলা রঙের চাদর মাথায় গায়ে দিয়ে লাল শারি হাতে শাখা পরে বসে ডানদিকে চেয়ে একটি ফুলের দোকানে বসে আছে। ']"
26.png,"['দুই জন মানুষ হেঁটে যাচ্ছে। একজন এর মাথায় জিনিস আছে। দূরে জলাশয় আছে।', '২ জন শার্ট লুঙ্গী পরা পুরুষ নদীর পার দিয়ে হেটে যাচ্ছে , একজন একটি লাটি  কাঁদে ২ টি ঝুরি নিয়ে যাচ্ছে আরেকজন একটি বুজা মাথায় করে আছে। ']"
27.png,"['তিনজন মানুষ বসে আছে ও দুই জন মানুষ দাঁড়িয়ে আছে।', '৪ জন  মানুষ যার মাঝে ২ জন বাচ্চা ২ জন  ছেলে, ২  জন বসে ভাঙ্গারি বাজ করছে একজন শার্ট প্যান্ট পরে দারিয়ে আছে, তাদের পিছনে একটি বাচ্চা  ছেলে কপালে দুই হাত দিয়ে ধরে দারিয়ে আছে। ']"
28.png,"['ফুল বাগানের ভিতর একটি শিশু ভুল নিয়ে দাঁড়িয়ে আছে।', 'একটি বাচ্চা মেয়ে  সরিষা ক্ষেতে সরিষা ফুল ধরে দাড়িয়ে হাসছে তার মাথায় ব্যান পরনে হাফ প্যান্ট গা খালি। ']"
29.png,"['জলাশয় এর পাশে তিনজন মেয়ে মানুষ বসে আছে ও একজন ছেলে মানুষ দাঁড়িয়ে আছে।', '৩ জন মেয়ে একটি লেকের পাড়ে বসে আছে তাদের সামনে একটি বুড়ো পুরুষ পিংক শার্ট কালো প্যান্ট পরে দাড়িয়ে আছে, মেয়ে ৩ জনের গায়ে জামা সেলুয়ার হাতে ব্যাগ ২ জনের মাথায় হিজাব দেয়া। ']"
30.png,"['দাঁড়ি ওয়ালা একজন পুরুষ মানুষ হাত তুলে মোনাজাত করছে।', 'একটি পুরুষ ২ হাত তুলে মোনাজাত করছে যার অর্ধেক শরীর দেখা যায়, তার পরনে শার্ট মাথায় টুপি। ']"
31.png,"['একজন ছেলে মানুষ রিক্সা নিয়ে দাঁড়িয়ে আছে ও বৃষ্টিতে ভিজছে।', 'একজন রিক্সা  চালক একটি রিক্সা নিয়ে দাড়িয়ে বৃষটিতে ভিজছে, তার গায়ে জাম রঙের শার্ট কালো বাদামি লুঙ্গী। ']"
32.png,"['একটি বাচ্চা ছেলে বসে আছে।', 'একটি ছেলে বাচ্চা পা ছড়িয়ে বসে আছে তার সামনে কতগুলো কাগজ তার গায়ে গেঞ্জি হাফ প্যান্ট পিছনে তাবু টাঙানো। ']"
33.png,"['মাটির উপর নৌকা ও পিছনে সবুজ গাছ আছে।', ' ২ টি নৌকা শুকনোতে উঠিয়ে রাখা হয়েছে যার একটি কাগজ দিয়ে অর্ধেক ঢাকা আছে, উপরে ছোট পাহাড়।   ']"
34.png,"['ফসলের মাঠের মধ্যে দিয়ে তিন জন মানুষ হেঁটে যাচ্ছে।', '৩ জন মাদ্রাসার ছাত্র হাঁটছে  ২ টি সরিষাক্ষেতের মাঝ দিয়ে একটি সরু রাস্তা দিয়ে, তাদের পরনে সাদা টুপি, হাতে টিফিন ক্যারিয়ার এবং পাঞ্জাবী পরা, ডানপাশের সরিষাক্ষেতে হলুদ ফুল ফুটে আছে।     ']"
35.png,"['জলাশয় এ দুইটি নৌকা আছে।', ' নদীর পাড়ে ২ টি নৌকা বাধা আছে যা পানিতে ভাসছে তার বাপাশে একটি পুরুষ ছোট দেখা যায় দাড়িয়ে আছে।    ']"
36.png,"['রাস্তা দিয়ে গাড়ি যাচ্ছে। গাড়ির উপর মানুষ বসে আছে।', ' কতগুলো পুরুষ  মানুষ একটি খর তুলা ট্রাক এর সামনের  উপরে বসে আছে তার পাশে আরেকটি ট্রাক এ বসে আছে ২ জন পুরুষ ডানপাশে একটি পুরুষ একটি মোটর সাইকেল চালাচ্ছে। ']"
37.png,"['দুইজন কিশোর রেল লাইনের উপর দাঁড়িয়ে হাসছে। ', '২ জন ছোট ছেলে রেল লাইন এ দাড়িয়ে আছে যার একজনের মাথায় চুল নেই খালি গা আরেকজন কাঁদে একটি কাঠের ব্যাট নিয়ে খালি গায়ে দাড়িয়ে আছে। ']"
38.png,"['দুইজন ছেলে মানুষ আছে।', 'একজন  পুরুষ বসে আছে কালো চাদর পরে আরেকজন পুরুষ একটি খুর হাতে শেভ করছে যার পরনে টি শার্ট। ']"
39.png,"['চার জন মহিলা মানুষ ও একটি বাচ্চা রাস্তার পাশ দিয়ে হাঁটছে।', '৪ জন মহিলা যার ২ জন বাচ্চা কুলে  একটি সেতুর ওপর দিয়ে হেটে  যাচ্ছে যার মাঝে ৩ জন কালো বোরকা, উরনা  পরা, একজন ঘুরে দাড়িয়ে আছে যার পরনে জামা উরনা তাদের সামনে একটি পাঞ্জাবী পরা বাচ্চা ছেলে। ']"
40.png,"['শাড়ি পরিহিত একজন মেয়ে মানুষ বসে কাজ করছে।', 'একটি মহিলা রান্না করছে যার পরনে শারি সামনে কিছু হাড়িপাতিল। ']"
41.png,"['কয়েক জন মানুষ দাঁড়িয়ে ও কয়েক জন মানুষ বসে আছে।', '২ জন ছেলে একটি করায় ধরে রাস্তা দিয়ে হেটে আসছে যাদের পরনে প্যান্ট, সোয়েটার, তাদের সামনে বসে আছে ২ জন পুরুষ সোয়েটার পরে ১ জন চা  খাচ্ছে বসে। ']"
42.png,"['তিনটি ভেরা তাকিয়ে আছে।', '৩ টি সাদা ভেরা চেয়ে আছে যার একটি ছোট,  উপরে উঠে আছে। ']"
43.png,"['এখানে কয়েকজন মানুষ কে দেখা যাচ্ছে।', 'একটি বাঙ্গা তারকাটার ফাক দিয়ে দেখা যাচ্ছে কিছু পাঞ্জাবী, শার্ট, লুঙ্গী পরা পুরুষ নামাজ পড়ছে। ']"
44.png,"['রাস্তার পাশ দিয়ে দুইজন মানুষ হেঁটে যাচ্ছে। পিছিনে দুই টি গাড়ি আছে।', '২ জন মহিলা বোরকা, হিজাব পরে হাতে ২ টি  ছাতা নিয়ে রাস্তার পাশ দিয়ে  হেটে যাচ্ছে হাতে বই ধরে। ']"
45.png,"['জলাশয় এর পাশে গাছ আছে। উপরে নীল আকাশে অল্প সাদা মেঘ আছে।', '৭ টি টাল গাছ দাড়িয়ে আছে একটি জলাশয়ের পাড়ে, কিছু এলোমেলো গাছও আছে। ']"
46.png,"['রাস্তায় গাড়ি ও রিক্সা দেখা যাচ্ছে। এখানে কয়েকজন মানুষ আছে।', 'একজন সাদা টি শার্ট কালো প্যান্ট  পরা পুরুষ একটি লাল গাড়ির পিছনে বসে পেপার পড়ছে, ডানপাশে রিক্সায় ৪ জন পুরুষ মানুষ অল্প দেখা যায়।   ']"
47.png,"['একজন মেয়ে মানুষ রাস্তা দিয়ে হেঁটে যাচ্ছে। পিছনে কয়েকজন মানুষ দেখা যাচ্ছে।', 'একটি স্কুল এর সাদা গুলাপি ড্রেস পরা মেয়ে রাস্তা দিয়ে হেটে যাচ্ছে এবং পিছন্নে ডানপাশে বসে তাকিয়ে আছে একদল ছেলে বামপাশে ২ জন ছেলে বেনে বসে তাকিয়ে আছে। ']"
48.png,"['একজন মহিলা ও একটি কিশোর ছেলে বাচ্চা কোলে নিয়ে বসে আছে।', 'একটি মহিলা শারি চাদর পরে আগুনের পাশে বসে আছে এবং একটি ছেলে আরেকটি শিশুকে কুলে নিয়ে বসে আছে যাদের গায়ে শীতের কাপড়, পাশে একটি ছাগল দাড়িয়ে আছে। ']"
49.png,"['একটি বাচ্চা মানুষ হাঁ করে আছে।', 'একটি ছোট ছেলে শার্ট প্যান্ট পরা একটি পানির কল খুলে বাঁকা হয়ে হা করে পানি খাচ্ছে। ']"
50.png,"['একজন মহিলা লাল শাড়ি পরিধান করে ঘোমটা দিয়ে আছে।', 'একটি মহিলা লাল শারি  গুলাপি ব্রাউস পরে দাড়িয়ে রুদ্রে শুকাতে দেয়া কিছু উল্টাছে। ']"
51.png,"['একজন মহিলা বাচ্চা কোলে নিয়ে আছে।', 'একজন মহিলা উরনা ম্যাক্সি পরে একটি ছোট শিশুকে কুলে নিয়ে দাড়িয়ে আছে। ']"
52.png,"['এখানে অনেকগুলো মানুষ আছে।', 'কতগুলো দরিদ্র মহিলা ছোট ছেলে মেয়ে দাড়িয়ে ভিড় জমাচ্ছে একটি জায়গায়। ']"
53.png,"['সমুদ্রের তীরে দুইজন মানুষ বসে আছে আর কয়েকজন মানুষ দাঁড়িয়ে আছে। দূরে পাহার দেখা যাচ্ছে।', 'কতগুলো ছোট দেখা যায় মানুষ সমুদ্রের পার দাড়িয়ে আছে যার মাঝে ২ জন বসে আছে। ']"
54.png,"['কর্দমাক্ত মাটিতে কয়েকজন শিশু খেলছে।', 'কিছু ছোট ছেলে বৃষ্টির মাঝে  একটি গোলপোস্টে ফুট বল খেলছে। ']"
55.png,"['দুইজন বালক রাস্তা দিয়ে হেঁটে যাচ্ছে।', '২ জন ছোট ছেলে হেটে যাচ্ছে, একজন স্কুল ড্রেস ব্যাগ পরে আছে আরেকজন একটি কিটনাশকের কন্তিন  হলুদ কালো কাপড় পরে আছে। ']"
56.png,"['কয়েকজন মানুষ রাস্তা দিয়ে হেঁটে যাচ্ছে।', 'কিছু ছেলে পুরুষ ২ টি বাংলাদেশী পতাকা হাতে রাস্তা ভরে মিছিল করছে। ']"
57.png,"['তিনজন মানুষ আছে। একজন বালক ও দুইজন শিশু।', '৩ জন ছোট ছেলে মাঝের জন পাশের ২ জনকে ধরে দাড়িয়ে আছে তাদের পরনেশিরত গেঞ্জি। ']"
58.png,"['একটি শিশু তাকিয়ে আছে।', 'একটি মহিলার কাঁদে একটি শিশু চোখ খুলে তাকিয়ে আছে, শিশুটির পরনে উলের কাপড়। ']"
59.png,"['একজন মহিলা দাঁড়িয়ে থেকে কাজ করছে।', 'একজন মহিলা হাতে কুলা নিয়ে ধান উরাচ্ছে, বাপাশে একটি সাদা বস্তা রাখা তার গায়ে আকাশী উরনা কালোর মাঝে হলুদ নক্সা ম্যাক্সি পরা। ']"
60.png,"['একজন বয়স্ক মানুষ বসে আছে।', 'একজন বুড়ো দরিদ্র লোক বসে লুঙ্গী  অর্ধেক খুলা শার্ট পরে একটি পেপার পড়ছে হাতে নিয়ে। ']"
61.png,"['রাস্তাই কয়েকজন মানুষ ও রিক্সা আছে।', 'বৃষ্টি ভেজা একটি রাস্তায় কতগুলো পুরুষ মানুষের ব্যান রিক্সা নিয়ে ছোটাছুটি। ']"
62.png,"['কয়েকটি হরিণ দাঁড়িয়ে আছে।', 'একটি ডালের সবুজ পাতা খাচ্ছে ৭ টি মায়া হরিণ, পিছনে কয়েকটি গাছ। ']"
63.png,"['দুইজন মানুষ হেঁটে যাচ্ছে।', '২ জন মহিলা শারি পরা কাঁদে ১ জনের  কোদাল আরেকজন মাথায় কয়েকটি পাথি নিয়ে কুয়াশার মাঝে ঝুপের মধ্য দিয়ে হেটে যাচ্ছে। ']"
64.png,"['সবুজ ফসলের মাঠে একজন বালক লাল জামা পরিধান করে আছে।', 'সবুজ চারা ধান গাছের মাঝে দিয়ে একটি কালো ছাগলের দরি ধরে হেটে যাচ্ছে একটি ছোট ছেলে। ']"
65.png,"['দুইজন মানুষ কাজ করছে।', 'সাদা  শার্ট ক্রিম রঙের প্যান্ট পরে হাতে লাটি দিয়ে রাস্তায় কালো রং করছে ২ জন পুরুষ। ']"
66.png,"['একজন মানুষ ও একটি সাইকেল আছে।', 'বাপাশে একজন মানুষ হেটে যাচ্ছে ডানপাশে একটি সাইকেল দাড়িয়ে আছে উপরে একটি কাক উড়ছে। ']"
67.png,"['কয়েকজন মানুষ কাজ করছে। পিছনে গাড়ি আছে।', '৫ জন পুরুষ দাড়িয়ে বেকে হাতে বেলচা নিয়ে পাথিতে বালু উঠাচ্ছে একটি রাস্তায়, তাদের পরনে লুঙ্গী গেঞ্জি ১ জনের হাফ প্যান্ট। ']"
68.png,"['অনেক গুলা মানুষ পাশাপাশি আছে। দূরে একজন মানুষ দাঁড়িয়ে আছে।', 'অনেকগুলো মানুষ একটি ট্রাক এ উঠে যাচ্ছে, ডানপাশে রাস্তার সাইডে হেটে যাচ্ছে একটি নীল চাদর পরা বুড়ো পুরুষ । ']"
69.png,"['সামনে একজন পুরুষ মানুষ আছে। পিছনে একজন মহিলা মানুষ দুইটি বাচ্চা নিয়ে আছে।', 'একজন বুড়ো পুরুষ , লুঙ্গী পরে একটি শারি পরা  মহিলা ২ জন শিশুসহ যাত্রী নিয়ে রিক্সা চালিয়ে যাচ্ছে, পুরুষটির পরনে নীল পাঞ্জাবী এবং লুঙ্গী। ']"
70.png,"['সবুজ ঘাসের উপর বালক, বালিকা ও শিশু আছে।', '২জন মেয়ে একজন সাদা জামাকাপর আরেকজন কালো লাল জামাকাপড়  পরে কানামাছি খেলছে, তাদের পিছনে এলোমেলো কয়েকজন বাচ্চা দাড়িয়ে খেলছে একসাথে। ']"
71.png,"['একটি শিশু কাজ করছে। পিছনে কয়েকজন মানুষ আছে।', 'একটি বাচ্চা মেয়ে সাদা জামা লাল হাফ প্যান্ট পরে একটি চালুনি দিয়ে বালু চালছে, তার পিছনে ঝাপসা কয়েকজন মানুষ দেখা যায়। ']"
72.png,"['একজন মহিলা একটি শিশু কোলে নিয়ে আছে।', 'লাল উরনা পরে একটি সাদা কাপড় পরা শিশুকে কুলে নিয়ে আছে একটি মহিলা, পিছনে ঝাপসা কিছু মানুষসহ  শহিদ মিনার দেখা যায়। ']"
73.png,"['পানিতে দুইটি হাঁস আছে।', 'পানিতে দুইটি ধুসর রঙের  হাঁস  একসাথে ভেসে চলে যাচ্ছে । ']"
74.png,"['একটি হাত দেখা যাচ্ছে।', 'কালো বিকৃত একটি মানুষের হাত কালো কিছু ধরে আছে। ']"
75.png,"['পানিতে একজন মহিলা ও দুইটি শিশু দৌড় দিচ্ছে।', '৪  জন মানুষ পানিতে খেলা করছে, যার মাঝে গুলাপি জামা পরা একটি মেয়ে এবং হাফ প্যান্ট পরা ৩ টি  বাচ্চা মেয়ে। ']"
76.png,"['একজন পুরুষ মানুষ বসে আছে। ', 'একজন পুরুষ গুদাম ঘরে  ২ টি বস্তার উপরে বসে লুঙ্গী শার্ট পরে কাঁদে একটি গামছা নিয়ে বিড়ি খাচ্ছে। ']"
77.png,"['জলাশয়ে কয়েকটি জাহাজ আছে। কয়েকজন মানুষ কাজ করছে।', 'কয়েকটা নৌকা যার মাঝে একটি নৌকা থেকে কিছু পুরুষ মানুষ মাথায় পাথি নিয়ে কয়লা নামাচ্ছে। ']"
78.png,"['একটি গরু তাকিয়ে আছে।', 'একটি সাদা রঙের গরুর  মাথায় কিছু দরি প্যাঁচানো দেখা যাচ্ছে। ']"
79.png,"['দুইজন বালক যাচ্ছে। চারদিকে ফসলের মাঠ।', 'চারা ধানগাছের ক্ষেতের ছোট রাস্তা দিয়ে ২ টি ছোট ছেলে সাইকেলের টায়ার দিয়ে গাড়ি চালিয়ে যাচ্ছে। ']"
80.png,"['নীল জামান পরিহিত একজন মহিলা মানুষ বসে আছে।', ' মাটিতে বসে একটি কাগজ ধরে আছে একটি বুড়ো মহিলা যার পরনে বেগুলি রঙের শারি পিছনে টিনের বেড়া। ']"
81.png,"['একজন মহিলা কাজ করছে। ', 'একটি মহিলা মাটির লাকড়ির  চুলায় রান্না করছে তার পরনে ঘাড় জাম রঙের  শারি হলুদ ব্রাউস চুল খোপা করা। ']"
82.png,"['একজন মহিলা বসে আছে।', 'একটি সাদা শারির উপরে চাদর পরে সিঁড়িতে  বসে আছে একটি বুড়ো মহিলা যার পাশে একটি ঘুরির দোকান। ']"
83.png,"['রাস্তার উপর একজন মানুষ দাঁড়িয়ে আছে।', 'একজন পুরুষ লুঙ্গী এবং টি শার্ট পরে রাস্তার পাশে  একটি দার করিয়ে রাখা সবজির ব্যানের পিছনে দাড়িয়ে আছে। ']"
84.png,"['একজন মানুষকে আবছা দেখা যাচ্ছে।', 'কুয়াশাছন্ন একটি ধানে ক্ষেতের উপর দিয়ে নৌকা চালিয়ে যাচ্ছে একটি পুরুষ, পিছনে দূরে একটি সেতুসহ রাস্তা এবং আরেকটি নৌকায় দাড়িয়ে আছে আরেকজন পুরুষ। ']"
85.png,"['পানিয়ে অনেকগুলো নৌকা আছে। নৌকাতে অনেক গুলো মানুষ আছে।', '৫ টি নৌকাতে ১০ জন কোস্ট গার্ড বসে এবং দারিয়ে আছে কুয়াশাছন্ন পরিবেশে। ']"
86.png,"['লাল জামা পরিধান করে একজন মহিলা বসে আছে।', 'একজন পুঙ্গ মহিলা ম্যাক্সি উরনা পরে হসপিটাল এ একটি হুইল চেয়ার এ বসে তাকিয়ে আছে। ']"
87.png,"['একজন মানুষ হেঁটে যাচ্ছে। দুইপাশে ফসলের মাঠ আছে।', 'ধানক্ষেতের মাঝের সরু রাস্তা দিয়ে হেটে আসছে একটি শারি পরা মহিলা যার হাতে কিছু বহন করে নিয়ে আসছে। ']"
88.png,"['এখানে একজন মানুষ দেখা যাচ্ছে।', 'উপরে কতগুলো বট গাছের শিকর ঝুলছে এবং নিচে একটি দাড়িওয়ালা পুরুষ হেটে যাচ্ছে। ']"
89.png,"['রাস্তা দিয়ে দুইজন মানুষ হেঁটে যাচ্ছে। দুইপাশে অনেক গাছ আছে।', '১ জন পুরুষ ১ জন মহিলা ২ পাশে গাছপালাযুক্ত একটি রাস্তা দিয়ে হেটে যাচ্ছে। ']"
90.png,"['নৌকার উপর কয়েকজন মানুষ বসে আছে।', '৪ জন মহিলা একটি নৌকায় বসে আছে শারি পরে, একটি ছোট খালি গায়ে বৈঠা হাতে নৌকাটি চালাচ্ছে, পিছনে একটি নীল পলিথিনে ঢাকা একটি বুজা। ']"
91.png,"['একজন বাচ্চা মানুষ হাসছে। পিছনে অনেক গুলো বাচ্চা বসে আছে।', 'একটি মেয়ে বাচ্চা একটি শ্বেট  হাতে নিয়ে দাড়িয়ে আছে সাদা জামা পরে তার পিছনে অনেকগুলো ছোট বাচ্চা মেয়ে এলোমেলো বসে আছে। ']"
92.png,"['একজন মেয়ে মানুষ কাজ করছে।', '১ টি মোটর সাইকেল খোলে ঠিক করছে একটি মেয়ে যার  পরনে জাম রঙের জামা পায়জামা সাদা উরনা কালো চুল। ']"
93.png,"['অনেকগুলো মানুষ সবুজ জামা পরিধান করে আছে।', 'একদল নারী খেলোয়াড় আনন্দ করছে সবুজের মাঝে লাল রঙের টি শার্ট পরে। ']"
94.png,"['দুইপাশে সবুজ ফসলের মধ্যে দিয়ে একজন মানুষ হেঁটে যাচ্ছে।', 'কিছু সবুজ সাদা জমিনের মাঝের একটি রাস্তায় ছোট দেখা যাচ্ছে একজন মানুষ। ']"
95.png,"['রাস্তায় রিক্সা আছে ও কয়েকজন মানুষ আছে।', 'একটি রিক্সা চালক ২ জন যাত্রী নিয়ে রাস্তা দিয়ে যাচ্ছে, ১ জন মহিলা ১ জন পুরুষ ৩ জন বাচ্চা হাতে ব্যাগ নিয়ে রাস্তা পার হচ্ছে। ']"
96.png,"['দুইজন পুরুষ মানুষ কাজ করছে।', '২ জন পুরুষ,  সিমেন্ত এর বস্তা  মাথায় নিয়ে সবুজ গেঞ্জি,  লুঙ্গী পরে একজন যাচ্ছে আরেকজন নীল গেঞ্জি হাফ প্যান্ট গোল  টুপি পরে আছে। ']"
97.png,"['পানি ও মাটি পাশাপাশি আছে।', 'একটি শুকনা নদীর পারে ৪ টি নৌকা বাধা এবং পার দিয়ে একজন পুরুষ একটি ঘোড়ার গাড়ি নিয়ে যাচ্ছে পিছনে কিছু মানুষ হাঁটছে মরুভুমির মত একটি জায়গা দিয়ে। ']"
98.png,"['পানিতে একজন মানুষ আছে।', 'একটি পুরুষ কালো  শার্ট পরে অল্প পানিতে দাড়িয়ে একঝাক হাস তাড়াচ্ছে। ']"
99.png,"['দোকানের পাশে একজন মানুষ বসে আছে।', 'এক্যি পুরুষ সাদা শার্ট সোয়েটার প্যান্ট পরে হাতে একটি পেপার নিয়ে একটি টুলের উপরে বসে আছে তার পাশে একটি দোকান। ']"
