image_name,captions,Generated,Gemini_generated
427.jpg,"['একটি হলুদ টি শার্টের ছবি দেখা যাচ্ছে ।', 'টি শার্টে একটি লোগো দেখা যাচ্ছে ।', 'টি শার্ট পরা একজন মানুষ দেখা যাচ্ছে ।', 'হলুদ টি শার্ট পরা একজন মানুষ দেখা যাচ্ছে ।', 'টি শার্ট পরা একজন মানুষের পাশে আর কিছু মানুষ দেখা যাচ্ছে ।']","Q: 'ছবিতে দেখা যাওয়া হলুদ টি শার্টের উপর কোন ধরনের লোগো রয়েছে?'
A: 'হলুদ টি শার্টে একটি গোলাকার লোগো রয়েছে যাতে কালো এবং সাদা রঙের লেখা দেখা যাচ্ছে।'"," Q: ছবিতে কি দেখা যাচ্ছে?
A: ছবিতে একজন মানুষকে হলুদ রঙের টি-শার্ট পরা দেখা যাচ্ছে। টি-শার্টে কালো রঙের একটি লোগো আছে। লোগোর ভিতরে 'CO' লেখা আছে। টি-শার্ট পরা মানুষটির পাশে আরও কিছু মানুষ দাঁড়িয়ে আছে।"
442.jpg,"['কিছু কবুতর দেখা যাচ্ছে ।', 'পাথরের উপর কিছু কবুতর দেখা যাচ্ছে ।', 'কিছু বন্য কবুতর দেখা যাচ্ছে ।', 'কিছু ছাই রঙের কবুতর দেখা যাচ্ছে ।', 'পাথরের পাহাড়ের উপর কিছু কবুতর দেখা যাচ্ছে ।']","Q: 'এই ছবিতে কবুতরগুলি কোন জায়গায় বসে আছে?'
A: 'পাথরের পাহাড়ের উপরে কবুতরগুলি বসে আছে।'"," Q: পাথরের উপর কি কি দেখা যাচ্ছে?
A: পাথরের উপর কবুতর দেখা যাচ্ছে।"
462.jpg,"['একটি গাছের দুটি ডাল দেখা যাচ্ছে ।', 'গাছপালা ঘেরা একটি শহর দেখা যাচ্ছে ।', 'একটি শহরের ছবি দেখা যাচ্ছে ।', 'দূরে পাহাড় দেখা যাচ্ছে ।', 'দূরে মেঘ দেখা যাচ্ছে ।']","Q: 'ছবিতে দেখা যাচ্ছে যে শহরটি কিসের দ্বারা ঘেরা?'
A: 'শহরটি গাছপালা দ্বারা ঘেরা।'"," Q: ছবিটিতে কি দেখা যাচ্ছে?
A: ছবিটিতে দুটি গাছের ডাল দেখা যাচ্ছে। গাছের ডাল দুটি আকাশের দিকে উঠে গেছে। গাছের ডাল দুটির মাঝে দিয়ে একটি তারের লাইন দেখা যাচ্ছে। তারের লাইনের ওপারে একটি শহর দেখা যাচ্ছে। শহরটিতে অনেকগুলি বাড়িঘর রয়েছে। বাড়িঘরগুলির মাঝে দিয়ে একটি রাস্তা দেখা যাচ্ছে। রাস্তার দুপাশে গাছ রয়েছে। শহরটির পেছনে পাহাড় দেখা যাচ্ছে। পাহাড়টিতে অনেকগুলি গাছ রয়েছে। পাহাড়ের উপরে আকাশ দেখা যাচ্ছে। আকাশে মেঘ রয়েছে।"
491.jpg,"['সমুদ্রের ঢেউ দেখা যাচ্ছে ।', 'সমুদ্রের ঘোলাটে পানি দেখা যাচ্ছে ।', 'সমুদ্রের ঢেউ সৈকত থেকে দেখা যাচ্ছে ।', 'সমুদ্র থেকে দূরে মেঘলা আকাশ দেখা যাচ্ছে ।', 'সমুদ্রের ঢেউ দেখা যাচ্ছে ।']","Q: 'ছবিতে দেখা সমুদ্রের এই অবস্থা কি কোনো আবহাওয়াগত পরিবর্তনের ইঙ্গিত দেয়?'
A: 'হ্যাঁ, ছবিতে দেখা সমুদ্রের ঘোলাটে পানি এবং মেঘলা আকাশ হয়তো আবহাওয়ার পরিবর্তন বা ঝড়ের ইঙ্গিত দেয়।'"," Q: সমুদ্রের পানি কেমন দেখাচ্ছে?
A: সমুদ্রের পানি ঘোলা দেখাচ্ছে।"
533.jpg,"['একটি ফুলগাছের ছবি দেখা যাচ্ছে ।', 'ফুল গাছের লাল ফুল দেখা যাচ্ছে ।', 'ফুলগাছের আশেপাশে কিছু বড় গাছপালা দেখা যাচ্ছে ।', 'ফুলগাছের নিচে সবুজ ঘাস দেখা যাচ্ছে ।', 'ফুলগাছ ও কিছু বড় গাছ দেখা যাচ্ছে ।']","Q: 'ছবিতে দেখা ফুলগাছটির ফুলের রং কি?'
A: 'ফুলের রং লাল।'"," Q: ছবিটিতে কি দেখা যাচ্ছে?
A: ছবিটিতে একটি ফুলগাছ দেখা যাচ্ছে। গাছে লাল রঙের ফুল ফুলেছে। ফুলগাছের আশেপাশে কিছু বড় গাছপালা এবং নিচে সবুজ ঘাস দেখা যাচ্ছে।"
547.jpg,"['একটি ধানক্ষেতের ছবি দেখা যাচ্ছে ।', 'ধানক্ষেতের পাশে একটি ঘর দেখা যাচ্ছে ।', 'ধানক্ষেতের চারপাশে গাছপালা দেখা যাচ্ছে ।', 'একটি গাড় সবুজ ধানক্ষেতের ছবি দেখা যাচ্ছে ।', 'ধানক্ষেতের উপরে পড়ন্ত বিকেলের আকাশ দেখা যাচ্ছে ।']","Q: 'ছবিতে ধানক্ষেতের পাশে কি দেখা যাচ্ছে?'
A: 'ধানক্ষেতের পাশে একটি ঘর দেখা যাচ্ছে।'"," Q: ছবিটিতে কি দেখা যাচ্ছে?
A: ছবিটিতে একটি ধানক্ষেত দেখা যাচ্ছে। ধানক্ষেতের পাশে একটি ঘর এবং কিছু গাছপালা দেখা যাচ্ছে। ধানক্ষেতের উপরে পড়ন্ত বিকেলের আকাশ দেখা যাচ্ছে।"
591.jpg,"['একটি টেবিলের উপর একটি বাটি আছে ।', 'বাটিতে রাইস জাতিয় খাবার দেখা যাচ্ছে ।', 'বাটিতে একটি চামচ দেখা যাচ্ছে ।', 'বাটিতে চামচ ও রাইস দেখা যাচ্ছে ।', 'একটি টেবিলে ম্যাটের উপর একটি বাটি দেখা যাচ্ছে ।']","Q: 'বাটিতে কোন ধরনের খাবার আছে?'
A: 'বাটিতে রাইস জাতিয় খাবার আছে, যাতে মাংস এবং সবজির টুকরো দেখা যাচ্ছে। খাবারটি উপর থেকে ধনিয়াপাতা দিয়ে সাজানো হয়েছে।'"," Q: ছবিটিতে কি দেখা যাচ্ছে ?
A: ছবিটিতে একটি টেবিলের উপর একটি বাটি রাইস দেখা যাচ্ছে । বাটিতে একটি চামচ ও রাইস রয়েছে ।"
659.jpg,"['কিছু খাবার দেখা যাচ্ছে ।', 'একটি প্লেট এ খাবার গুলো পরিবেশন করা হয়েছে ।', '৪ পদ এর খাবার দেখা যাচ্ছে ।', 'প্লেট টি একটি টেবিল এ রাখা আছে ।', 'কিছু মরিচ এর টুকরো দেখা যাচ্ছে ।']","Q: 'প্লেটে কি কি ধরনের খাবার পরিবেশন করা হয়েছে?'
A: 'প্লেটে চার পদের খাবার রয়েছে: গ্রিল করা চিকেন, ভাজা আলু, ফ্রাইড রাইস এবং কিছু মরিচের টুকরো।'"," Q: ছবিটিতে কি কি দেখা যাচ্ছে ?
A: ছবিটিতে একটি প্লেটে পরিবেশিত চার পদের খাবার দেখা যাচ্ছে। প্লেটে একটি গ্রিল করা মুরগির পা, ভাত, আলুর চিপস এবং কিছু মরিচের টুকরো রয়েছে।"
673.jpg,"['একটি রাস্তার কিছু অংশ দেখা যাচ্ছে ।', 'একজন এর হাত দৃশ্যমান ।', 'হাত এ একটি খাবার দেখা যাচ্ছে ।', 'একটি ছোট বাটিতে খাবারটি দেখা যাচ্ছে ।', 'কিছু চানাচুর এর মত আছে ।']","Q: 'ছবিতে কোন ধরনের খাবার দেখা যাচ্ছে?'
A: 'ছবিতে একটি বাটিতে চানাচুর, সস এবং ভাজা খাবার দেখা যাচ্ছে, যা সাধারণত স্ট্রিট ফুড হিসেবে পরিচিত।'"," Q: ছবিটিতে কি দেখা যাচ্ছে?
A: ছবিটিতে একজনের হাতে একটি প্লেটে রাখা চানাচুর দেখা যাচ্ছে।"
738.jpg,"['অনেক ধরনের মশলা দেখা যাচ্ছে ।', 'বিভিন্ন ধরনের ডাল দৃশ্যমান ।', 'কিছু হলুদ্গুড়া দেখা যাচ্ছে ।', 'অনেকগুলো পাত্রতে বিভিন্ন মশলা দেখা যাচ্ছে ।', 'কিছু লাল এবং সবুজ রঙের পাত্র দেখা যাচ্ছে ।']","Q: 'ছবিতে কত ধরনের মশলা এবং ডাল দেখা যাচ্ছে?'
A: 'ছবিতে বিভিন্ন ধরনের ডাল ও অনেক ধরনের মশলা দেখা যাচ্ছে, যেমন হলুদ্গুড়া, কালো বীজ এবং অন্যান্য মশলার পাত্র।'"," Q: ছবিতে কী দেখা যাচ্ছে?
A: ছবিতে বিভিন্ন ধরনের মশলা, ডাল এবং হলুদ্গুড়া দেখা যাচ্ছে। এগুলি ছাড়াও কিছু লাল এবং সবুজ রঙের পাত্রও দেখা যাচ্ছে।"
774.jpg,"['একটি কুকুর দৃশ্যমান ।', 'একটি বানর দৃশ্যমান ।', 'একটি সাদা বর্ণের কুকুর দৃশ্যমান ।', 'কিছু গাছ দৃশ্যমান ।', 'সিঁড়িতে তিনজন মানুষ দৃশ্যমান ।']","Q: 'ছবিতে কোন প্রাণী দুটি দেখা যাচ্ছে?'
A: 'একটি কুকুর এবং একটি বানর দেখা যাচ্ছে।'"," Q: ছবিতে কী দেখা যাচ্ছে?
A: ছবিতে একটি কুকুর এবং একটি বানরকে দেখা যাচ্ছে। কুকুরটি সাদা রঙের এবং বানরটি বাদামী রঙের। কুকুরটি বানরটিকে দেখে ভয় পেয়েছে এবং বানরটি কুকুরটিকে দেখে আক্রমণ করছে।"
804.jpg,"['সুন্দর সাদা মেঘের একটি আকাশ দেখা যাচ্ছে ।', 'একটি বিমান বন্দর দেখা যাচ্ছে ।', 'দুইটি বিমান দেখা যাচ্ছে ।', 'বিমান মাঠে কর্মী দেখা যাচ্ছে ।', 'পাহাড়ের সমন্বয়ে গড়ে উঠা একটি সুন্দর সাদা বাড়ি দেখা যাচ্ছে ।']","Q: 'ছবিতে কতগুলি বিমান দেখা যাচ্ছে?'
A: 'দুইটি বিমান দেখা যাচ্ছে।'"," Q: ছবিটি কোথায় তোলা হয়েছে?
A: ছবিটি ভুটানের পারো বিমানবন্দরে তোলা হয়েছে।"
813.jpg,"['সাদা মেঘের আকাশ দেখা যাচ্ছে ।', 'ছোট বড় অনেক গুলো পাহাড় দেখা যাচ্ছে ।', 'পাহাড়ের মধ্য দিয়ে আঁকাবাঁকা রাস্তা দেখা যাচ্ছে ।', 'রাস্তার পাশে ট্রাক্টর এবং কার পার্কিং দেখা যাচ্ছে ।', 'কিছু মানুষ কথা বলছে ।']","Q: 'ছবিটিতে পাহাড়ের মধ্য দিয়ে কেমন রাস্তা দেখা যাচ্ছে?'
A: 'পাহাড়ের মধ্য দিয়ে আঁকাবাঁকা রাস্তা দেখা যাচ্ছে।'"," Q: ছবিটি কোথায় তোলা হয়েছে?
A: ছবিটি ভুটানের একটি পাহাড়ি রাস্তায় তোলা হয়েছে।"
819.jpg,"['সাদা মেঘের আকাশ দেখা যাচ্ছে ।', 'অনেকগুলো পাহাড় দেখা যাচ্ছে ।', 'পাহাড়ের মধ্যদিয়ে আঁকাবাঁকা রাস্থা ।', 'রাস্তার মধ্যদিয়ে গাড়ি চলাচল হচ্ছে ।', 'পাহাড়ের পাদদেশে কিছু ঘর দেখা যাচ্ছে ।']","Q: 'ছবিটিতে দেখা যাচ্ছে, আকাশে কি দেখা যাচ্ছে?'
A: 'ছবিটিতে সাদা মেঘের আকাশ দেখা যাচ্ছে।'"," Q: ছবিটি কোথায় তোলা হয়েছে?
A: ছবিটি পাহাড়ে তোলা হয়েছে।"
852.jpg,"['একটি ফুলের টব রয়েছে ।', 'একটি ফুল গাছের চারা রয়েছে ।', 'লাল রঙের ফুল দেখা যাচ্ছে ।', 'ঝুলন্ত কিছু ফুলের চারা দেখা যাচ্ছে ।', 'ছাদের উপর ফুল গাছের চারা রয়েছে ।']","Q: 'ছবিতে কী ধরণের ফুলের চারা দেখা যাচ্ছে?'
A: 'ছবিতে ঝুলন্ত লাল রঙের ফুলের চারা দেখা যাচ্ছে।'"," Q: ছাদের উপর কি রয়েছে?
A: ছাদের উপর ফুলের টব রয়েছে ।"
867.jpg,"['একটি পার্কিং এরিয়া দেখা যাচ্ছে ।', 'সাদা রঙের কার দেখা যাচ্ছে ।', 'একটি টেসলা কার রয়েছে ।', 'দর্শনার্থী দেখা যাচ্ছে ।', 'পার্কিং স্লটে একটি কার রয়েছে ।']","Q: 'এই ছবিতে কোন ব্র্যান্ডের গাড়ি দেখা যাচ্ছে?'
A: 'এই ছবিতে টেসলা ব্র্যান্ডের গাড়ি দেখা যাচ্ছে।'"," Q: ছবিতে কি দেখা যাচ্ছে?
A: ছবিতে একটি সাদা রঙের ফেরারি গাড়ি দেখা যাচ্ছে।"
877.jpg,"['একটি কুকুর আছে ।', 'একটি কালো কুকুর আছে ।', 'একটি কুকুর শুয়ে আছে ।', 'একটি কালো কুকুর শুয়ে আছে ।', 'বালুর ওপর একটি কুকুর শুয়ে আছে ।']","Q: 'বালুর ওপর শুয়ে থাকা কুকুরটির রঙ কি?'
A: 'কালো'"," Q: কালো রঙের কুকুরটি কি বালির উপর শুয়ে আছে?
A: হ্যাঁ, কালো রঙের কুকুরটি বালির উপর শুয়ে আছে।"
882.jpg,"['চাঁদের দৃশ্য দেখা যাচ্ছে ।', 'অন্ধকার আকাশে চাঁদ দৃশ্যমান ।', 'পূর্ণচন্দ্র দেখা যাচ্ছে ।', 'চাঁদের গায়ে দাগ দৃশ্যমান ।', 'অন্ধকারে চাদ আলো দিচ্ছে ।']","Q: 'চিত্রের অনুযায়ী, চাঁদের কোন পর্যায় দেখা যাচ্ছে?'
A: 'চিত্রে পূর্ণচন্দ্র দেখা যাচ্ছে।'"," Q: আকাশে কি দেখা যাচ্ছে?
A: আকাশে পূর্ণচন্দ্র দেখা যাচ্ছে।"
915.jpg,"['অনেক ঘাসফুল রয়েছে ।', 'কমলা রঙের ছোট ছোট ফুল দেখা যায় ।', 'বেশ কয়েকটি সুন্দর ফুল একসাথে ফুটে আছে ।', 'কতগুলো ফুল ।', 'কয়েকটি সুন্দর ছোট ফুল ফুটে আছে ।']","Q: 'ছবিতে দেখা ফুলগুলির রঙ কি?'
A: 'ফুলগুলি কমলা রঙের।'"," Q: কতগুলো ফুলের ছবি?
A: কমলা রঙের ছোট ছোট ফুলের ছবি।"
929.jpg,"['একটু মরুভূমি ।', 'ফাঁকা মরুভূমি ।', 'একটি নীরব মরুভূমির দৃশ্য ।', 'মরুভূমিতে উচু নিচু করে বালির স্তুপ ।', 'মরুভূমিতে কোনো স্থাপনার ছায়া দেখা যাচ্ছে ।']","Q: 'ছবিতে দেখা মরুভূমিতে কি কোনো স্থাপনা দেখা যাচ্ছে?'
A: 'না, ছবিতে কোনো স্থাপনার ছায়া দেখা যাচ্ছে না।'"," Q: মরুভূমির দৃশ্যটি কেমন?
A: মরুভূমির দৃশ্যটি খুবই নির্জন এবং শুষ্ক। এখানে কোনো গাছপালা বা জল নেই। শুধুমাত্র বালির ঢেউ রয়েছে।"
934.jpg,"['একটি স্থাপত্য নকশা ।', 'ছোট গোলআকৃতির নকশা ।', 'স্থাপত্য নকশা আলোকসজ্জা দিয়ে সুন্দর ভাবে স্থাপন করা হয়েছে ।', 'প্রাচীন কালের একটি স্থাপত্য নকশা ।', 'প্রাচীর কালের কোনো নিদর্শন এর নকশা ।']","Q: 'ছবিতে দেখানো স্থাপত্য নকশাটি কোন যুগের?'
A: 'এটি প্রাচীন কালের একটি স্থাপত্য নকশা।'"," Q: এটি কি?
A: এটি একটি প্রাচীন রোমান স্থাপত্যের নকশা যা আলো দিয়ে সুন্দরভাবে স্থাপন করা হয়েছে ।"
962.jpg,"['গ্রামের চিরচেনা দৃশ্য ।', 'কোন একটি গ্রামের পাকা রাস্তা ।', ""রাস্তার দু'পাশে সারি সারি গাছ ।"", 'রাস্তার পাশ দিয়ে একজন মহিলা হেটে যাচ্ছে ।', 'একটি গ্রামীণ রাস্তা ।']","Q: 'রাস্তার দুই পাশে কী ধরনের গাছ রয়েছে?'
A: 'রাস্তার দুই পাশে সারি সারি গাছ রয়েছে।'"," Q: ছবিটি কোন জায়গার?
A: ছবিটি একটি গ্রামের।"
1057.jpg,"['কিছু পাতা আছে ।', 'কিছু গাছের পাতা আছে ।', 'কিছু গাছের সবুজ পাতা আছে ।', 'গাছের পাতার উপর পানি আছে ।', 'কিছু সবুজ পাতার গায়ে পানি আছে ।']","Q: 'গাছের পাতার উপর কি আছে?'
A: 'গাছের পাতার উপর পানি আছে।'"," Q: গাছের পাতার উপর কি আছে?
A: গাছের পাতার উপর পানি আছে।"
1136.jpg,"['একটি মহিলা বসে আছে ।', 'একটি মহিলা একটি রাস্তার মধ্যে বসে ভিক্ষা করছে ।', 'একটি মহিলা বসে আছে এবং তার পিছনে অনেক মানুষ দারিয়ে আছে ।', 'একটি রেলগাড়ির সামনে অনেক লোক দারিয়ে আছে ।', 'একজন মহিলা ভিক্ষা করসে অনেক লোকের সামনে ।']","Q: 'ছবিতে দেখা মহিলাটি কোথায় বসে আছেন?'
A: 'মহিলাটি একটি রেলগাড়ির স্টেশনে বসে আছেন।'"," Q: ছবিতে কি দেখা যাচ্ছে ?
A: ছবিতে একজন মহিলা রাস্তার ধারে বসে ভিক্ষা করছেন। তার পিছনে অনেক লোক দাঁড়িয়ে আছে।"
1263.jpg,"['একটি বালক আছে ।', 'একটি বালক হাসছে ।', 'একটি বালক টুপি পড়ে আছে ।', 'একটি বালক টুপি পড়ে হাসছে ।', 'একটি বালক দাত বের করে হাসছে ।']","Q: 'ছবিতে থাকা বালকের মাথায় কি ধরনের টুপি আছে?'
A: 'ছবিতে বালকের মাথায় সাদা রঙের জালি দেওয়া টুপি আছে।'"," Q: ছবির ছেলেটি কি করছে?
A: ছবির ছেলেটি হাসছে।"
1370.jpg,"['একটি কালো কুকুর রয়েছে ।', 'একটি কালো কুকুর শুয়ে আছে ।', 'একটি কালো কুকুর কাঠের মেঝেতে শুয়ে আছে ।', 'একটি কুকুর ঘুমাচ্ছে ।', 'একটি কুকুর শুয়ে আছে ।']","Q: 'ছবিতে কুকুরটি কি করছে?'
A: 'কুকুরটি কাঠের মেঝেতে শুয়ে আছে।'"," Q: কুকুরটি কি করছে?
A: কুকুরটি ঘুমাচ্ছে।"
1395.jpg,"['একটি কুকুর রয়েছে ।', 'একটি কুকুর এদিকে তাকিয়ে আছে ।', 'একটি কুকুর বসে আছে ।', 'একটি কালো কুকুর জিহ্বা বের করে আছে ।', 'একটি কুকুর গলায় বেল্ট পড়ে ছাদে বসে আছে ।']","Q: 'ছবিতে থাকা কুকুরটির গলায় কি পড়া আছে?'
A: 'কুকুরটির গলায় একটি বেল্ট পড়া আছে।'"," Q: ছাদে বসে থাকা কুকুরটির গলায় কি আছে?
A: ছাদে বসে থাকা কুকুরটির গলায় একটি বেল্ট আছে।"
1408.jpg,"['একটি কাঠ কাটার যন্ত্র দেখা যাচ্ছে ।', 'একটি কাঠ কাটার যন্ত্র আছে ও যন্ত্রের ওপর কাঠের গুড়ো লেগে আছে ।', 'একটি কাঠ কাটার যন্ত্র কাঠ কাটছে ।', 'জং ধরা একটি কাঠ কাটার যন্ত্র দেখা যাচ্ছে ।', 'কালো রঙের একটি কাঠ কাটার যন্ত্র দেখা যাচ্ছে ।']","Q: 'ছবিতে থাকা কাঠ কাটার যন্ত্রের রঙ কি?'
A: 'কাঠ কাটার যন্ত্রটি কালো রঙের।'"," Q: ছবিটিতে কী দেখা যাচ্ছে?
A: ছবিটিতে একটি কাঠ কাটার যন্ত্র দেখা যাচ্ছে।"
1461.jpg,"['একটি সবজি ক্ষেত আছে ।', 'সবজি ক্ষেতে মাচা ব্যবহার করা হয়েছে ।', 'সবজি ক্ষেতে মাচায় লাল রঙের দড়ি ব্যবহার করা হয়েছে ।', 'সবজি ক্ষেতের পিছে গাছের বন রয়েছে ।', 'সবজি ক্ষেতে কুমড়া পাতা আছে ।']","Q: 'সবজি ক্ষেতে কোন ধরনের দড়ি ব্যবহার করা হয়েছে?'
A: 'সবজি ক্ষেতে লাল রঙের দড়ি ব্যবহার করা হয়েছে।'"," Q: ছবিটিতে কী দেখা যাচ্ছে?
A: ছবিটিতে একটি সবজি ক্ষেত দেখা যাচ্ছে। সবজি ক্ষেতে মাচা ব্যবহার করা হয়েছে। মাচায় লাল রঙের দড়ি ব্যবহার করা হয়েছে। সবজি ক্ষেতের পিছে গাছের বন রয়েছে। সবজি ক্ষেতে কুমড়া পাতা আছে।"
