image_name,captions,Generated
12.jpg,"['একটি মগ দেখা যাচ্ছে ।', 'একটি মগের উপর আলো পড়ছে ।', 'একটি মগের উপর সবুজ রঙের আলপনা দেখা যাচ্ছে ।', 'একটি টিয়া রঙের মগ দেখা যাচ্ছে ।', 'একটি আলপনা করা টিয়া রঙের মগ দেখা যাচ্ছে ।']","Q# মগের উপর কোন রঙের আলপনা আঁকা হয়েছে?
A# মগের উপর সবুজ রঙের আলপনা আঁকা হয়েছে।"
13.jpg,"['২ টি শিশু দেখা যাচ্ছে ।', 'পুকুরপাড়ে ২ টি শিশু দেখা যাচ্ছে ।', '২ টি শিশু মুখে হাত দিয়ে দাড়িয়ে আছে ।', 'একজন শিশু খালি গায়ে ভেজা শরীরে এবং একজন কাপড় পড়া অবস্থায় ভেজা শরীরে দাড়িয়ে আছে ।', 'একটি পুকুরপাড়, দুইজন শিশু ও কিছু গাছপালা দেখা যাচ্ছে ।']","Q# 'এই ছবিতে কতজন শিশু পুকুরপাড়ে দাঁড়িয়ে আছে?'  
A# 'পুকুরপাড়ে দুইজন শিশু দাঁড়িয়ে আছে।'"
14.jpg,"['একটি ফুল দেখা যাচ্ছে ।', 'একটি কমলা রঙের ফুল দেখা যাচ্ছে ।', '৮টি পাপড়ি ওয়ালা একটি ফুল দেখা যাচ্ছে ।', 'একটি ফুল দেখা যাচ্ছে,যা কমলা রঙের এবং এর ৮টি পাপড়ি আছে ।', '৮টি পাপড়ি ওয়ালা এবং কমলা রঙের একটি ফুল দেখা যাচ্ছে ।']","Q# চিত্রে দেখানো ফুলটির পাপড়ির সংখ্যা কত?
A# চিত্রে দেখানো ফুলটির ৮টি পাপড়ি আছে।"
15.jpg,"['একটি ছেলে দেখা যাচ্ছে ।', 'একটি ছেলে দেখা যাচ্ছে,ছেলেটির শরীর এবং কাপড়ে রঙ দেখা যাচ্ছে ।', 'একটি ছেলে রঙের বোতল হাতে নিয়ে দাড়িয়ে আছে ।', 'একটি ছেলে রঙের বোতল হাতে নিয়ে গম্ভীরভাবে তাকিয়ে আছে ।', 'একটি ছেলে গম্ভীরভাবে তাকিয়ে আছে ।']","Q# ছবিতে দেখা ছেলেটির হাতে কি আছে?
A# ছবিতে দেখা ছেলেটির হাতে একটি রঙের বোতল আছে।"
16.jpg,"['কিছু সংখ্যক মানুষ দেখা যাচ্ছে ।', 'কিছু সংখ্যক মানুষ দেখা যাচ্ছে, সামনের একজন ছেলে চশমা পড়ে দাড়িয়ে আছে ।', 'কিছু সংখ্যক মানুষ দেখা যাচ্ছে, সামনের ছেলেটির মুখে কিছুটা রঙ দেখা যাচ্ছে ।', 'কিছু সংখ্যক মানুষ এবং কিছু ভবন দেখা যাচ্ছে ।', 'কিছু মানুষের হলি খেলার দৃশ্য দেখা যাচ্ছে ।']","Q# ছবিতে একজন ছেলের মুখের উপর কিভাবে রঙ দেখা যাচ্ছে?
A# ছেলেটির মুখে হলি খেলার সময় রঙ লাগা আছে।"
17.jpg,"['একটি শিশু দেখা যাচ্ছে ।', 'আলো ও অন্ধকারে একটি শিশু দেখা যাচ্ছে ।', 'একটি শিশু দেখা যাচ্ছে,যার পেছনে অন্ধকার ।', 'গম্ভীর ভবে একটি শিশুকে তাকিয়ে থাকতে দেখা যাচ্ছে ।', 'গম্ভীর ভবে তাকিয়ে থাকা একটি শিশুকে দেখা যাচ্ছে,যার পেছনে অন্ধকার ।']","Q# ছবিতে দেখা যাওয়া শিশুর মুখের অভিব্যক্তি কেমন?
A# ছবিতে দেখা যাওয়া শিশুর মুখের অভিব্যক্তি গম্ভীর।"
18.jpg,"['কিছু সংখক মানুষ দেখা যাচ্ছে ।', 'কিছু সংখক মানুষকে মাটিতে বসে থাকতে দেখা যাচ্ছে ।', 'কিছু সংখক মানুষকে হেটে যেতে দেখা যাচ্ছে ।', 'চিকন একটি রাস্তায় পাশে কিছু সংখ্যক মানুষ বসে আছে এবং কিছু সংখ্যক হেটে যাচ্ছে ।', 'অনেকগুলো গাছপালায় ঘেরা একটি জনবহুল চিকন রাস্তা দেখা যাচ্ছে ।']","Q# ছবিতে রাস্তার পাশে মানুষগুলি কি করছে?
A# রাস্তার পাশে মানুষগুলি মাটিতে বসে আছে।"
19.jpg,"['একটি ছাতা এবং একটি পুকুর দেখা যাচ্ছে ।', 'একটি ছাতার নিচে পুকুরের সামনে একটি ছেলে এবং একটি মেয়ে বসে আছে ।', 'একটি পুকুর দেখা যাচ্ছে ।', 'একটি ছাতার নিচে পুকুরের সামনে একটি ছেলে বসে আছে ।', 'একটি পুকুর দেখা যাচ্ছে সামনে একটি ছেলে বসে আছে ।']","Q# ছবিতে একটি ছাতার নিচে কত জন মানুষ বসে আছে?
A# ছবিতে একটি ছাতার নিচে দুজন মানুষ বসে আছে।"
21.jpg,"['একটি শিশু দেখা যাচ্ছে ।', 'একটি শিশুকে গোসল করতে দেখা যাচ্ছে ।', 'পুকুরে একটি শিশু দেখা যাচ্ছে ।', 'পুকুরের পানিতে একটি শিশুকে খেলতে দেখা যাচ্ছে ।', 'একটি শিশু পুকুরের পানিতে দাড়িয়ে আছে ।']","Q# এই ছবিতে শিশুটি কি করছে?  
A# ছবিতে শিশুটি পুকুরের পানিতে খেলছে।"
22.jpg,"['একটি ফুল দেখা যাচ্ছে ।', 'হলুদ রঙের একটি জবা ফুল দেখা যাচ্ছে ।', 'একটি জবা ফুল দেখা যাচ্ছে,যার রঙ হলুদ ।', 'মাটির উপর হলুদ রঙের একটি জবা ফুল দেখা যাচ্ছে ।', 'একটি হলুদ রঙের একটি জবা ফুল দেখা যাচ্ছে এবং পেছনে অনেক জবা ফুল আবছা ।']","Q# 'ছবিতে দেখা যাওয়া ফুলের রঙ কি?'

A# 'ছবিতে দেখা যাওয়া ফুলের রঙ হলুদ।'"
23.jpg,"['একজন লোক দেখা যাচ্ছে ।', 'একজন লোক দেখা যাচ্ছে এবং পেছনে অনেকগুলো গাছপালা দেখা যাচ্ছে ।', 'একজন লোক ধানক্ষেতে কাজ করছে ।', 'অনেক গাছপালা দেখা যাচ্ছে এবং পেছনে মেঘলা আকাশ দেখা যাচ্ছে ।', 'মেঘলা আকাশের নিচে একজন লোককে ধানক্ষেতে কাজ করতে দেখা যাচ্ছে ।']","Q# ছবিতে দেখা যাচ্ছে লোকটি কোন কাজ করছে?
A# ছবিতে দেখা যাচ্ছে লোকটি ধানক্ষেতে কাজ করছে।"
25.jpg,"['দুইজন লোক দেখা যাচ্ছে ।', 'খালিগায়ে দুইজন মানুষ দেখা যাচ্ছে ।', 'দুইজন মানুষ এবং অসংখ্য গাছপালা দেখা যাচ্ছে ।', 'অসংখ্য গাছপালা এবং আকাশ দেখা যাচ্ছে ।', 'আকাশের নিচে দুইজন মানুষকে কাজ করতে দেখা যাচ্ছে ।']","Q# ছবিতে যে দুইজন মানুষকে দেখা যাচ্ছে, তাদের পরিবেশ কেমন?
A# তাদের পরিবেশ বেশ খালি ও বনাঞ্চল মতো দেখা যাচ্ছে যেখানে অনেক গাছপালা ও খোলা আকাশ অবস্থিত।"
26.jpg,"['একটি নারিকেলের চোঙা দেখা যাচ্ছে ।', 'মাটিতে একটি নারিকেলের চোঙা পড়ে আছে ।', 'একটি নারিকেলের চোঙা দেখা যাচ্ছে এবং পেছনে কিছু গাছপালা আবছা ।', 'একটি খয়েরী রঙের নারিকেলের চোঙা দেখা যাচ্ছে ।', 'পেছনে কিছু আবছা গাছপালা দেখা যাচ্ছে এবং সামনে একটি নারিকেলের চোঙা দেখা যাচ্ছে ।']","Q# ছবিতে কোন প্রাকৃতিক বস্তুর একটি অংশ প্রধানত দেখা যাচ্ছে?
A# একটি নারিকেলের চোঙা।"
27.jpg,"['একটি তারকাটা দেখা যাচ্ছে ।', 'একটি হলুদ রঙের তারকাটা দেখা যাচ্ছে ।', 'একটি তারকাটা দেখা যাচ্ছে এবং পেছনে কিছু মানুষ আবছা ।', 'কিছু আবছা গাছপালা এবং একজন মানুষ দেখা যাচ্ছে ।', 'হলুদ তারকাটার পেছনে কিছু আবছা গাছপালা এবং একজন মানুষ দেখা যাচ্ছে ।']","Q# ছবিতে দেখা যাচ্ছে তারকাটার রঙ কি?
A# হলুদ"
29.jpg,"['একজন মেয়ে দেখা যাচ্ছে ।', 'একজন মেয়েকে হাসতে দেখা যাচ্ছে ।', 'একজন মেয়ে দেখা যাচ্ছে এবং পেছনে পানি দেখা যাচ্ছে ।', 'একজন মেয়ে দেখা যাচ্ছে, যার চুল খোলা এবং সিথি করা ।', 'একজন মেয়ে দেখা যাচ্ছে, যার কানে দুল দেয়া ।']","Q#   'ছবিতে দেখা মেয়েটির চুল কি খোলা এবং সিথি করা?',
A#   'হ্যাঁ, ছবিতে দেখা মেয়েটির চুল খোলা এবং সিথি করা।'"
30.jpg,"['কিছু গরু- ছাগল দেখা যাচ্ছে ।', 'কিছু গরু- ছাগল দেখা যাচ্ছে এবং পেছনে গাছপালা দেখা যাচ্ছে ।', 'একটি ধানের ক্ষেতে তিনজন মানুষ দেখা যাচ্ছে ।', 'কিছু গরু- ছাগল দেখা যাচ্ছে এবং একজন ছাতা মাথায় নিয়ে দাড়িয়ে আছে ।', 'কিছু গরু- ছাগলকে ঘাস খেতে দেখা যাচ্ছে, পেছনে কিছু ধানক্ষেত এবং গাছপালা দেখা যাচ্ছে ।']","Q#   'ছবিতে কেন একজন মানুষ ছাতা মাথায় নিয়ে দাঁড়িয়ে আছেন?'
A#   'হয়তো সূর্যের তাপ থেকে বাঁচার জন্য বা হালকা বৃষ্টি থেকে নিজেকে রক্ষা করার জন্য ওই ব্যক্তি ছাতা মাথায় নিয়ে দাঁড়িয়ে আছেন।'"
31.jpg,"['তিনজন শিশু দেখা যাচ্ছে ।', 'তিনজন শিশু দেখা যাচ্ছে, যাদের মুখে রঙ মাখা ।', 'তিনজন শিশু উপরে তাকিয়ে আছে ।', 'রঙ মাখানো তিনজন শিশু আগ্রহ নিয়ে উপরে তাকিয়ে আছে ।', 'মুখে রঙ মাখা তিনজন শিশু দেখা যাচ্ছে ।']","Q# 'ছবিতে উপস্থিত শিশুরা কিসের দিকে তাকিয়ে আছে?'
A# 'শিশুরা আগ্রহ নিয়ে উপরের দিকে তাকিয়ে আছে।'"
33.jpg,"['একটি নদী দেখা যাচ্ছে ।', 'নদীতে একটি নৌকা দেখা যাচ্ছে ।', 'নদীতে একটি নৌকা এবং লঞ্চ দেখা যাচ্ছে ।', 'নদীতে একটি নৌকা দেখা যাচ্ছে এবং নৌকায় তিনজন মানুষ দেখা যাচ্ছে ।', 'মেঘলা আকাশ এবং নদী দেখা যাচ্ছে ।']","Q# নদীতে কী কী ধরনের জাহাজ দেখা যাচ্ছে?
A# নদীতে একটি নৌকা এবং একটি লঞ্চ দেখা যাচ্ছে।"
34.jpg,"['একজন লোক ও একটি শিশু দেখা যাচ্ছে ।', 'একজন লোক ও একটি শিশু এবং পেছনে কিছু গাছপালা দেখা যাচ্ছে ।', 'একটি শিশু দেখা যাচ্ছে,যার মাথায় চুল নেই এবং একজন লোক দেখা যাচ্ছে ।', 'একজন লোক ও একটি শিশুকে কাজ করতে দেখা যাচ্ছে ।', 'একটি শিশু ও একজন লোককে কাজ করতে দেখা যাচ্ছে ।']","Q# ছবিতে দেখা গাছপালার পেছনে লোক ও শিশু কি করছে?
A# লোক এবং শিশু কাজ করতে দেখা যাচ্ছে।"
36.jpg,"['একজন ছেলে দেখা যাচ্ছে ।', 'চশমা পড়া একজন ছেলে দেখা যাচ্ছে ।', 'একজন ছেলে দেখা যাচ্ছে এবং পেছনে আবছা গাছপালা ।', 'চশমা পড়া একজন ছেলে উপরে তাকিয়ে আছে ।', 'একজন মানুষ উপরে তাকিয়ে আছে যার মুখে রোদ পড়ছে ।']","Q# ছবির ছেলেটির মুখোমুখি কি ধরনের আলো পড়ছে?
A# ছবির ছেলেটির মুখে রোদ পড়ছে।"
37.jpg,"['একজন প্রাপ্তবয়ষ্ক লোক দেখা যাচ্ছে ।', 'চশমা পড়া একজন প্রাপ্তবয়ষ্ক লোক দেখা যাচ্ছে ।', 'একজন প্রাপ্তবয়ষ্ক লোক দেখা যাচ্ছে, যার চোখে চশমা আছে ।', 'একজন প্রাপ্তবয়ষ্ক লোক দেখা যাচ্ছে, যার মুখে লাল রঙ আছে ।', 'একজন প্রাপ্তবয়ষ্ক লোক দেখা যাচ্ছে, যার মাথায় চুল কম ।']","Q#  ছবিতে দেখা যাচ্ছে, লোকটির মুখে কী রঙ আছে?
A#  লাল রঙ।"
38.jpg,"['কিছু মানুষ দেখা যাচ্ছে ।', 'কিছু মানুষ দেখা যাচ্ছে আবছাভাবে ।', 'ব্যস্তভাবে কিছু মানুষকে দেখা যাচ্ছে ।', 'কিছু মানুষ দেখা যাচ্ছে, যারা ব্যস্তভাবে আছে ।', 'কিছু ব্যস্ত মানুষকে আবছা দেখা যাচ্ছে ।']","Q# ছবিটিতে মানুষগুলোর অবস্থা কিভাবে?
A# মানুষগুলো ব্যস্তভাবে আছে এবং তাদেরকে আবছাভাবে দেখা যাচ্ছে।"
39.jpg,"['নদীতে একটি নৌকা দেখা যাচ্ছে ।', 'নদীতে একটি নৌকা দেখা যাচ্ছে এবং নৌকার উপর মাঝি দেখা যাচ্ছে ।', 'নৌকার উপর একজন মাঝি রেইনকোট পড়া অবস্থায় দেখা যাচ্ছে ।', 'বৃষ্টি পড়া অবস্থায় একজন মাঝি নৌকা চালাচ্ছে ।', 'একজন মাঝি রেইনকোট পড়ে নৌকায় দাড়িয়ে আছে ।']","Q#   ছবিতে দেখা মাঝি কি ধরনের পোশাক পরেছেন?
A#   ছবিতে মাঝি রেইনকোট পরেছেন।"
40.jpg,"['দুইজন লোক দেখা যাচ্ছে ।', 'একজন লোককে বালতি থেকে পানি ফেলত দেখা যাচ্ছে ।', 'একজন লোক দুটি ঝাড়ু নিয়ে দাড়িয়ে আছে ।', 'দুইজন লোক দাড়িয়ে আছে,একজন বালতি থেকে পানি ফেলছে এবং আরেকজন দুটি ঝাড়ু নিয়ে দাড়িয়ে আছে ।', 'দুইজন লোককে লঞ্চ পরিষ্কার করতে দেখা যাচ্ছে ।']","Q# ছবিতে দেখা যাওয়া একজন লোক কী করছেন?  
A# ছবিতে দেখা যাওয়া একজন লোক বালতি থেকে পানি ফেলছেন।"
41.jpg,"['ভেজা রাস্তায় কিছু রিকশা চলছে এবং কিছু মানুষ দাড়িয়ে আছে ।', 'কিছু রিকশা দেখা যাচ্ছে ।', 'কিছু রিকশা চলতে দেখা যাচ্ছে এবং কিছু দাড়িয়ে আছে ।', 'রাস্তায় কিছু পানি জমে আছে ।', 'বৃষ্টি ভেজা রাস্তায় কিছু পানি জমে আছে ।']","Q# ছবিতে দেখা গেল কোন ধরনের আবহাওয়া?
A# ছবিতে বৃষ্টির জলে ভেজা রাস্তা দেখা যাচ্ছে।"
43.jpg,"['কিছু মানুষ দেখা যাচ্ছে ।', 'রেলস্টেশনে কিছু মানুষ চলাচল করতে দেখা যাচ্ছে ।', 'কিছু মানুষকে স্টেশন থেকে টিকিট কিনতে দেখা যাচ্ছে ।', 'কিছু মানুষকে ব্যাগ কাধে নিয়ে স্টেশনে হাঁটতে দেখা যাচ্ছে ।', 'একটি স্টেশন দেখা যাচ্ছে ।']","Q# 'ছবিতে দেখা যাচ্ছে মানুষগুলো কোন স্থানে চলাচল করছেন?'
A# 'ছবিতে মানুষগুলোকে একটি রেলস্টেশনে চলাচল করতে দেখা যাচ্ছে।'"
44.jpg,"['কিছু মানুষ দেখা যাচ্ছে ।', 'কিছু মানুষ দেখা যাচ্ছে এবং একটি ছেলে ও একটি মেয়েকে হাটতে দেখা যাচ্ছে ।', 'স্টেশনের পাশে কিছু মানুষকে বসে থাকতে দেখা যাচ্ছে ।', 'একটি ছেলেকে একটি মেয়ের সাথে কাঁধে ব্যাগ নিয়ে হাটতে দেখা যাচ্ছে ।', 'রেলস্টেশনে কিছু মানুষ দেখা যাচ্ছে ।']","Q# 'ছবিটিতে কতজন মানুষকে দেখা যাচ্ছে এবং তারা কী করছে?'
A# 'ছবিটিতে পাঁচজন মানুষকে দেখা যাচ্ছে, কেউ হাঁটছেন, কেউ বসে আছেন, এবং একটি ছেলে এবং একটি মেয়েকে হাঁটতে দেখা যাচ্ছে।'"
46.jpg,"['পরিষ্কার মেঘ ও আকাশ দেখা যাচ্ছে ।', 'আকাশ ও পরিষ্কার মেঘ দেখা যাচ্ছে ।', 'টিনের চাল, ভবনের ছাদ ও আকাশ দেখা যাচ্ছে ।', 'খোলা আকাশের নিচে ভবনের ছাদে দুইটি শিশু দেখা যাচ্ছে ।', 'টিনের চালের পাশে একটি ভবনের ছাদে দুইটি শিশু দেখা যাচ্ছে ।']","Q# ছবিতে দেখা যাচ্ছে যে টিনের চালের পাশে কি দৃশ্য দেখা যাচ্ছে?
A# টিনের চালের পাশে একটি ভবনের ছাদে দুইটি শিশু দেখা যাচ্ছে।"
47.jpg,"['একটি দেয়াল ও একটি জানালা দেখা যাচ্ছে ।', 'জানালা দিয়ে একজন মানুষ দেখা যাচ্ছে ।', 'একজন দাড়িওয়ালা মানুষ জানালা দিয়ে দেখা যাচ্ছে ।', 'একটি নড়বড়ে দেয়াল দেখা যাচ্ছে ।', 'একটি নড়বড়ে দেয়ালের জানালায় একজন লোক দেখা যাচ্ছে ।']","Q# জানালার পাশের দেয়ালের অবস্থা কেমন?
A# জানালার পাশের দেয়ালটি নড়বড়ে।"
48.jpg,"['একজন চশমা পড়া লোক দেখা যাচ্ছে ।', 'একজন লোক বসে আছে গাছের নিচে ।', 'একটি পার্ক দেখা যাচ্ছে যেখানে অনেক গাছপালা আছে ।', 'একজন লোক দেখা যাচ্ছে যিনি চশমা পড়ে আছেন ।', 'একজন লোক পার্কে বসে আছে দেখা যাচ্ছে ।']","Q#  ছবিতে দেখা লোকটি কোথায় বসে আছেন?
A#  তিনি একটি পার্কের গাছের নিচে বসে আছেন।"
49.jpg,"['রাস্তা এবং কিছু মানুষ দেখা যাচ্ছে ।', 'হলুদ তারকাটার পেছনে কিছু মানুষ দেখা যাচ্ছে ।', 'রাস্তায় কিছু মানুষ হাটতে দেখা যাচ্ছে ।', 'চারজন ইউনিফর্ম পড়া ছেলে রাস্তায় দেখা যাচ্ছে ।', 'কিছু মানুষ হাটতে দেখা যাচ্ছে আবছা হলুদ তারকাটার পেছনে ।']","Q# রাস্তায় কতজন ছেলে ইউনিফর্ম পরে আছেন?
A# চারজন ছেলে ইউনিফর্ম পরে রাস্তায় আছেন।"
50.jpg,"['একটি বাজার দেখা যাচ্ছে ।', 'কিছু মানুষ বাজারে বেচাকেনা করতে দেখা যাচ্ছে ।', 'বজারে বেচাকেনা করতে কিছু মানুষ দেখা যাচ্ছে ।', 'একটি জমজমাট বাজার দেখা যাচ্ছে ।', 'একটি বাজার দেখা যাচ্ছে যেটি খুবই জমজমাট ।']","Q# 'বাজারে শাকসবজি কোন জিনিসগুলো দেখা যাচ্ছে?'
A# 'বাজারে ভ্যানে রাখা আলু, টম্যাটো, শসা, ও অন্যান্য শাকসবজি দেখা যাচ্ছে।'"
51.jpg,"['আকাশের রুদ্দ্র রূপই ঝরে আশীর্বাদ হয়ে ।', 'স্বর্ণের খোঁজ কি শুধু ভূগর্ভেই মিলে ।', 'রঙের বৈষম্যই কি প্রকৃতির সৌন্দর্য ।', 'আমি কেবল বনো ঘাসের ছন্দে উরে বেড়াই প্রতিবেশি যত অন্যের আঙ্গিনায় ।', 'ক্ষুদ্র মনের স্বপ্ন গুলো হয়ত আকাশ থেকে বিশাল ।']","Q# ছবিতে দেখা যাচ্ছে মানুষেরা কী কাজ করছেন?
A# মানুষেরা কৃষিকাজ করছেন, সম্ভবত ধান ক্ষেতে জল সেচ দিচ্ছেন।"
52.jpg,"['একটি রাখাল তার গরু চড়াচ্ছে ।', 'একজন রাখাল বালক গরুকে পুকুর পারে ঘাস খাওয়াতে নিয়ে আসছে ।', 'ছোট একটি ছেলে গরুকে ঘাস খাওয়াতে নিয়ে আসছে ।', 'বেলা পরায় গরুকে ফিরিয়ে নিতে যাচ্ছে ছোট রাখাল ছেলে ।', 'বেলা শেষে গরুকে নিয়ে বাড়ি ফিরছে রাখাল ।']","Q# 'ছবিতে দেখা রাখাল বালকটি বেলা শেষে কি করতে যাচ্ছে?'
A# 'বেলা শেষে রাখাল বালকটি গরুকে নিয়ে বাড়ি ফিরছে।'"
53.jpg,"['মাছের বাজারে ক্রেতাদের ভিড় ।', 'মাছের বাজারে ব্যস্ত সময় বিক্রেতাদের ।', 'জমজমাট মাছের বাজার ।', 'উৎসব মুখোর মাছের বাজার ।', 'মাছের বাজারে উপচে পরা ভিড় ।']","Q# ছবিটিতে দেখা মাছের বাজারে মূলত কি ধরনের পরিবেশ প্রতিফলিত হচ্ছে?

A# ছবিটিতে একটি জমজমাট ও উৎসব মুখোর মাছের বাজারের পরিবেশ প্রতিফলিত হচ্ছে, যেখানে অনেক ক্রেতা ও বিক্রেতারা মাছ কিনতে ও বিক্রি করতে ব্যস্ত।"
56.jpg,"['মঞ্চে নিত্য পরিবেষণ করছে একজন মেয়ে ।', 'মঞ্চে নিত্যমগ্ন একটি মেয়ে ।', 'নিত্য পরিবেষণে মগ্ন সুসজ্জিত একজন রমণী ।', 'মঞ্চ নিত্য পরিবেষণ ।', 'মঞ্চে নিত্য পরিবেষণ করছে একজন নর্তকী ।']","Q# ছবিতে দেখা যাওয়া নর্তকী কোন ধরণের নাচ পরিবেষণ করছেন?

A# ছবিতে দেখা যাওয়া নর্তকী ভারতীয় শাস্ত্রীয় নৃত্য পরিবেষণ করছেন।"
